Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee.command,CommandIP,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.command,CommandPerms,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.command,CommandReload,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.command,ConsoleCommandCompleter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.command,ConsoleCommandSender,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.util,AddressParseTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.util,QuietException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee,Util,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_PORT
BungeeCord1,net.md_5.bungee,Bootstrap,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BungeeCord; PipelineUtils; HandlerBoss; ChannelWrapper; PacketHandler; UserConnection; InitialHandler; HttpClient; ServerConnection; BungeeServerInfo; TabList; EntityMap; EntityMap_1_8; EntityMap_1_9; EntityMap_1_9_4; EntityMap_1_10; EntityMap_1_11; EntityMap_1_12; EntityMap_1_12_1; EntityMap_1_13; EntityMap_1_14; EntityMap_1_15; EntityMap_1_16; EntityMap_1_16_2; ForgeClientHandler; ForgeClientHandshakeState; ForgeLogger; ForgeServerHandler; Bootstrap; BungeeCordLauncher; Metrics
BungeeCord1,net.md_5.bungee,BungeeCord,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: isRunning; config; messageFormats; eventLoops; saveThread; metricsThread; listeners; connections; connectionsByOfflineUUID; connectionsByUUID; connectionLock; shutdownLock; pluginManager; reconnectHandler; configurationAdapter; pluginChannels; pluginsFolder; scheduler; consoleReader; logger; gson; connectionThrottle; moduleManager
BungeeCord1,net.md_5.bungee,BungeeCord,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 42 public methods
