Project Name,Package Name,Architecture Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee.log,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BungeeLogger; ColouredWriter; LogDispatcher]; [ColouredWriter.ReplacementSpecification]; [ConciseFormatter]; [LoggingForwardHandler]; [LoggingOutputStream]. LCC (Lack of Component Cohesion) = 0.71
BungeeCord1,net.md_5.bungee.protocol,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee.chat
BungeeCord1,net.md_5.bungee.protocol,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractPacketHandler; ChatChain; DefinedPacket; Either; MinecraftDecoder; MinecraftEncoder; NumberFormat; PacketWrapper; PlayerPublicKey; Property; Protocol; Protocol.DirectionData; ProtocolConstants; SeenMessages; TagUtil; Varint21FrameDecoder; Varint21LengthFieldExtraBufPrepender; Varint21LengthFieldPrepender; TagUtilTest; LegacyDecoder]; [BadPacketException]; [ChatChain.ChainLink]; [KickStringWriter]; [Location]; [NumberFormat.Type]; [OverflowPacketException]; [Protocol.ProtocolData]; [Protocol.ProtocolMapping]; [ProtocolConstants.Direction]. LCC (Lack of Component Cohesion) = 0.34
BungeeCord1,net.md_5.bungee.protocol,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee.protocol; net.md_5.bungee.protocol.packet; net.md_5.bungee.protocol
BungeeCord1,net.md_5.bungee.protocol.packet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 72
BungeeCord1,net.md_5.bungee.protocol.packet,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee.protocol; net.md_5.bungee.chat
BungeeCord1,net.md_5.bungee.protocol.packet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BossBar]; [Chat]; [ClearTitles]; [ClientChat]; [ClientCommand]; [ClientSettings]; [ClientStatus]; [Commands]; [Commands.NetworkNode]; [Commands.ArgumentRegistry]; [Commands.DummyType]; [Commands.ArgumentSerializer]; [Commands.ProperArgumentSerializer]; [Commands.SuggestionRegistry]; [Commands.DummyProvider]; [CookieRequest]; [CookieResponse]; [DisconnectReportDetails]; [EncryptionRequest]; [EncryptionResponse]; [EncryptionResponse.EncryptionData]; [EntityStatus]; [FinishConfiguration]; [GameState]; [Handshake]; [KeepAlive]; [Kick]; [LegacyHandshake]; [LegacyPing]; [Login]; [LoginAcknowledged]; [LoginPayloadRequest]; [LoginPayloadResponse]; [LoginRequest]; [LoginSuccess]; [PingPacket]; [PlayerListHeaderFooter]; [PlayerListItem]; [PlayerListItem.Action]; [PlayerListItem.Item]; [PlayerListItemRemove]; [PlayerListItemUpdate]; [PlayerListItemUpdate.Action]; [PluginMessage; PluginMessageTest]; [Respawn]; [ScoreboardDisplay]; [ScoreboardObjective]; [ScoreboardObjective.HealthDisplay]; [ScoreboardScore]; [ScoreboardScoreReset]; [ServerData]; [ServerLinks]; [ServerLinks.LinkType]; [ServerLinks.Link]; [SetCompression]; [StartConfiguration]; [StatusRequest]; [StatusResponse]; [StoreCookie]; [Subtitle]; [SystemChat]; [TabCompleteRequest]; [TabCompleteResponse]; [TabCompleteResponse.ComponentMessage]; [Team]; [Title]; [Title.Action]; [TitleTimes]; [Transfer]; [UnsignedClientCommand]; [ViewDistance]. LCC (Lack of Component Cohesion) = 0.99
BungeeCord1,net.md_5.bungee.compress,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.md_5.bungee.jni.zlib; net.md_5.bungee.protocol.
BungeeCord1,net.md_5.bungee.connection,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CancelSendSignal; DownstreamBridge; InitialHandler; LoginResult; UpstreamBridge]; [InitialHandler.CookieFuture]; [InitialHandler.State]; [PingHandler]. LCC (Lack of Component Cohesion) = 0.5
BungeeCord1,net.md_5.bungee.connection,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.md_5.bungee.api; net.md_5.bungee; net.md_5.bungee.api.config.
BungeeCord1,net.md_5.bungee.connection,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.md_5.bungee.api.plugin; net.md_5.bungee; net.md_5.bungee.api.
BungeeCord1,net.md_5.bungee.connection,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.md_5.bungee; net.md_5.bungee.netty.
BungeeCord1,net.md_5.bungee.connection,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.md_5.bungee.api; net.md_5.bungee.api.config; net.md_5.bungee.netty; net.md_5.bungee.
BungeeCord1,net.md_5.bungee.connection,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.md_5.bungee.api; net.md_5.bungee.netty.
BungeeCord1,net.md_5.bungee.entitymap,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee
BungeeCord1,net.md_5.bungee.entitymap,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.md_5.bungee.protocol; net.md_5.bungee.
BungeeCord1,net.md_5.bungee.forge,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee
BungeeCord1,net.md_5.bungee.forge,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ForgeClientHandler; ForgeClientHandshakeState; ForgeConstants; ForgeLogger; ForgeServerHandler; ForgeServerHandshakeState; ForgeUtils; IForgeClientPacketHandler; IForgeServerPacketHandler]; [ForgeLogger.LogDirection]. LCC (Lack of Component Cohesion) = 0.2
BungeeCord1,net.md_5.bungee.netty,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee.compress; net.md_5.bungee
BungeeCord1,net.md_5.bungee.tab,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee.connection
